# Rime user dictionary
#@/db_name	bxm26J
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	64909
#@/user_id	1520d77d-d27c-4605-8f5b-f25221a59c49
a 	又	c=112 d=4.9658 t=64909
aa 	双	c=11 d=2.89218e-53 t=64909
aaab 	叠	c=9 d=2.31271e-38 t=64909
aafu 	双击	c=1 d=2.54524e-79 t=64909
aaij 	双重	c=1 d=3.93618e-120 t=64909
aajn 	双向	c=1 d=3.0557e-53 t=64909
ab 	姐	c=1 d=1.41507e-55 t=64909
abi 	姐	c=4 d=1.09184e-26 t=64909
abvm 	媒体	c=1 d=4.748e-32 t=64909
ad 	娘	c=1 d=1.13069e-92 t=64909
aezz 	嫂子	c=2 d=2.2079e-24 t=64909
ag 	冬	c=1 d=2.38052e-86 t=64909
aghr 	冬天	c=2 d=1.67534e-75 t=64909
ahcp 	欢迎	c=26 d=10.0767 t=64909
ahlj 	欢乐	c=1 d=6.45991e-66 t=64909
aj 	及	c=8 d=0.642194 t=64909
ajae 	媳妇	c=6 d=2.9303e-60 t=64909
ajaq 	婚姻	c=2 d=7.08594e-56 t=64909
ajbg 	及其	c=5 d=1.64957e-06 t=64909
ajbx 	及时	c=1 d=4.74592e-115 t=64909
ajdo 	姓名	c=26 d=2.46841e-42 t=64909
ajvp 	婚假	c=1 d=1.35004e-31 t=64909
ak 	嫌	c=1 d=3.01053e-113 t=64909
al 	她	c=5 d=5.84039e-27 t=64909
ali 	处	c=8 d=1.27496 t=64909
alii 	处理	c=124 d=3.9277 t=64909
alj 	女	c=1 d=4.77312e-94 t=64909
all 	妣	c=1 d=2.84727e-16 t=64909
alqx 	处置	c=2 d=2.31748e-115 t=64909
am 	条	c=13 d=1.48217 t=64909
amam 	妹妹	c=5 d=8.43493e-28 t=64909
amh 	妹	c=4 d=8.67029e-50 t=64909
amsg 	条形	c=2 d=1.22215e-66 t=64909
amvf 	条件	c=69 d=0.172047 t=64909
amyg 	条款	c=36 d=1.32629e-28 t=64909
an 	嫁	c=6 d=0.813634 t=64909
ao 	如	c=174 d=2.63335 t=64909
aoi 	各	c=1 d=1.05378e-28 t=64909
aoi 	如	c=6 d=7.16122e-26 t=64909
aoig 	各	c=19 d=1.44453e-25 t=64909
aolj 	娱乐	c=1 d=1.88774e-122 t=64909
aom 	桇	c=1 d=0.286505 t=64909
aomi 	如果	c=265 d=5.29447 t=64909
aon 	娟	c=1 d=1.16659e-48 t=64909
aonh 	如同	c=1 d=9.87706e-120 t=64909
aoth 	如下	c=26 d=0.701173 t=64909
aouf 	各种	c=8 d=1.95621 t=64909
aovi 	各个	c=13 d=2.11488 t=64909
aovi 	各位	c=1 d=7.20469e-85 t=64909
aovt 	如何	c=180 d=12.4916 t=64909
aoxn 	各有	c=1 d=1.71508e-23 t=64909
ap 	邓	c=1 d=1.13253e-23 t=64909
aq 	备	c=2 d=3.72324e-54 t=64909
aqdi 	备注	c=43 d=0.00121433 t=64909
aqil 	备忘	c=1 d=1.17045e-28 t=64909
aql 	姆	c=1 d=6.45291e-112 t=64909
aqna 	备案	c=8 d=4.84735 t=64909
aqvg 	备份	c=12 d=0.934221 t=64909
as 	妈	c=3 d=1.04687e-97 t=64909
asas 	妈妈	c=1 d=9.17358e-45 t=64909
au 	始	c=7 d=0.708221 t=64909
auam 	各种各样	c=1 d=2.03027e-96 t=64909
auih 	如释重负	c=1 d=4.19594e-19 t=64909
auo 	始	c=2 d=0.657047 t=64909
auwa 	始终	c=3 d=0.0930148 t=64909
av 	难	c=3 d=5.88786e-34 t=64909
avbh 	难易	c=1 d=9.35544e-70 t=64909
avbt 	难题	c=1 d=1.32904e-23 t=64909
avhw 	难免	c=2 d=0.121846 t=64909
avld 	难以	c=1 d=1.13339e-120 t=64909
awnx 	观察	c=3 d=3.66267e-85 t=64909
ax 	对	c=164 d=5.02724 t=64909
axbr 	对映	c=1 d=7.84495e-116 t=64909
axfi 	对接	c=4 d=2.06247 t=64909
axhn 	对角	c=1 d=2.75825e-54 t=64909
axhq 	对象	c=113 d=7.71665 t=64909
axhu 	对勾	c=1 d=1.94271e-48 t=64909
axig 	劝说	c=1 d=3.08379e-43 t=64909
axih 	对方	c=5 d=1.49934e-103 t=64909
axij 	对话	c=2 d=0.782704 t=64909
axix 	对齐	c=22 d=2.63831e-41 t=64909
axj 	姚	c=1 d=1.22041e-108 t=64909
axjg 	对应	c=91 d=1.20742 t=64909
axll 	对比	c=43 d=2.26594 t=64909
axth 	对于	c=27 d=1.99615 t=64909
axvh 	对像	c=1 d=1.38324e-52 t=64909
axvy 	对待	c=1 d=6.0713e-42 t=64909
axvy 	逢凶化吉	c=1 d=6.04103e-42 t=64909
axz 	务	c=1 d=5.51527e-59 t=64909
ay 	圣	c=5 d=6.35475e-42 t=64909
aywz 	圣经	c=4 d=1.22048e-51 t=64909
ayy 	娃	c=2 d=5.25825e-27 t=64909
az 	好	c=413 d=3.42151 t=64909
azal 	好处	c=1 d=2.09729e-37 t=64909
azfp 	娜	c=1 d=4.14134e-12 t=64909
azig 	好玩	c=1 d=3.42753e-51 t=64909
azjf 	好看	c=1 d=3.11382e-10 t=64909
azjn 	好受	c=1 d=3.7951e-73 t=64909
azkj 	好笑	c=1 d=3.74956e-78 t=64909
aznf 	好用	c=3 d=1.66904e-26 t=64909
azvh 	好像	c=17 d=1.28176e-38 t=64909
azxa 	好友	c=1 d=3.74075e-21 t=64909
azz 	好	c=2 d=1.27776e-60 t=64909
b 	是	c=2044 d=19.7253 t=64909
ba 	取	c=19 d=0.420524 t=64909
babj 	取暖	c=6 d=0.782704 t=64909
badg 	取消	c=20 d=1.8108 t=64909
badr 	取决	c=4 d=0.326554 t=64909
baeu 	取出	c=10 d=6.00911e-09 t=64909
bald 	聚餐	c=2 d=2.13452e-60 t=64909
bavb 	取得	c=2 d=1.59597e-75 t=64909
bavh 	聚合	c=3 d=3.16851e-13 t=64909
bavi 	聚焦	c=6 d=1.396e-13 t=64909
bavi 	聚集	c=1 d=1.34954e-56 t=64909
bavs 	取代	c=5 d=2.22971e-22 t=64909
bavx 	取值	c=8 d=1.00968e-25 t=64909
bb 	最	c=117 d=2.1225 t=64909
bbaz 	最	c=9 d=2.68511e-32 t=64909
bbaz 	最好	c=1 d=3.21063e-76 t=64909
bbdd 	最多	c=8 d=6.96704e-14 t=64909
bbfw 	最先	c=1 d=3.1665e-119 t=64909
bbgj 	最少	c=5 d=0.701173 t=64909
bbik 	最新	c=25 d=0.65377 t=64909
bbio 	最高	c=2 d=5.97278e-26 t=64909
bbjh 	最后	c=30 d=1.17402 t=64909
bbjt 	最近	c=18 d=0.146607 t=64909
bbkj 	最长	c=1 d=1.49407e-47 t=64909
bbrh 	最大	c=9 d=0.00153577 t=64909
bbth 	最初	c=2 d=1.82237e-31 t=64909
bbvj 	最低	c=3 d=0.0359725 t=64909
bbvr 	最短	c=2 d=4.00036e-104 t=64909
bbvy 	最佳	c=3 d=2.14124 t=64909
bbwa 	最终	c=24 d=2.23474 t=64909
bc 	聊	c=4 d=2.66148e-38 t=64909
bchr 	聊天	c=2 d=1.39294 t=64909
bfo 	晧	c=1 d=1.19388e-26 t=64909
bg 	其	c=255 d=4.02621 t=64909
bgaq 	具备	c=1 d=4.73785e-95 t=64909
bgbi 	瞠目	c=1 d=9.71242e-40 t=64909
bgdv 	基准	c=2 d=0.995012 t=64909
bgfi 	其中	c=59 d=1.35347 t=64909
bggm 	基数	c=2 d=4.30396e-103 t=64909
bghu 	甚至	c=2 d=0.25924 t=64909
bgi 	刵	c=2 d=1.19409e-28 t=64909
bgil 	期望	c=1 d=0.0561348 t=64909
bglv 	歁	c=2 d=4.14319e-76 t=64909
bgm 	眯	c=1 d=2.35555e-109 t=64909
bgmh 	基本	c=91 d=3.41661 t=64909
bgn 	期	c=156 d=0.11475 t=64909
bgnb 	期间	c=5 d=3.34746e-67 t=64909
bgng 	其实	c=3 d=0.56836 t=64909
bgnl 	其它	c=11 d=0.918512 t=64909
bgpe 	基础	c=72 d=1.3771 t=64909
bgpp 	期限	c=17 d=1.51922 t=64909
bgth 	基于	c=15 d=0.414841 t=64909
bgvh 	其余	c=7 d=1.39844e-23 t=64909
bgvl 	其他	c=127 d=3.99294 t=64909
bgvm 	具体	c=56 d=3.13243 t=64909
bgxn 	具有	c=6 d=1.29699 t=64909
bh 	量	c=17 d=0.180866 t=64909
bhg 	易	c=2 d=0.786628 t=64909
bhh 	旦	c=1 d=5.57847e-46 t=64909
bhi 	量	c=11 d=0.000180646 t=64909
bhig 	甘	c=1 d=3.7718e-30 t=64909
bhkj 	晚饭	c=3 d=1.86321 t=64909
bhkj 	照片	c=8 d=3.66385e-40 t=64909
bhnf 	易用	c=1 d=1.1824e-30 t=64909
bhpv 	剔除	c=1 d=0.980199 t=64909
bhth 	易于	c=1 d=9.37385e-05 t=64909
bhw 	晚	c=6 d=5.01207e-51 t=64909
bhyi 	晚上	c=20 d=2.60458e-27 t=64909
bi 	日	c=191 d=2.5576 t=64909
bibg 	日期	c=265 d=7.36494 t=64909
biei 	目录	c=122 d=4.38825 t=64909
bign 	睡觉	c=2 d=4.0273e-07 t=64909
bih 	旺	c=6 d=3.28932e-08 t=64909
bihl 	景色	c=1 d=0.0284388 t=64909
bihl 	暗色	c=1 d=1.48509e-35 t=64909
biix 	日文	c=2 d=1.03314e-10 t=64909
bijb 	目的	c=8 d=1 t=64909
bijx 	日历	c=7 d=3.59774e-33 t=64909
bikn 	目前	c=41 d=1.22821 t=64909
bimg 	目标	c=14 d=8.87906e-32 t=64909
binb 	日间	c=1 d=5.62765e-61 t=64909
bing 	日寇	c=5 d=5.11919e-27 t=64909
biog 	景	c=10 d=1.75567 t=64909
bioj 	影响	c=14 d=1 t=64909
biyu 	日志	c=41 d=4.75065 t=64909
bizm 	目	c=1 d=3.80092e-91 t=64909
bizq 	且	c=14 d=1.35603 t=64909
bizz 	日子	c=1 d=1.73816e-92 t=64909
bj 	星	c=8 d=0.786628 t=64909
bjbg 	星期	c=21 d=3.7079e-19 t=64909
bjbj 	星星	c=1 d=2.27792e-09 t=64909
bjkj 	暖气	c=6 d=3.17662e-58 t=64909
bjrd 	星火	c=1 d=0.774917 t=64909
bjta 	暖	c=5 d=2.63468e-54 t=64909
bjuo 	暖和	c=1 d=2.15742e-46 t=64909
bjwa 	星级	c=1 d=1.4328e-25 t=64909
bjy 	星	c=1 d=0.767206 t=64909
bk 	联	c=8 d=2.77182e-43 t=64909
bkgu 	联动	c=6 d=2.88781e-60 t=64909
bkjv 	联系人	c=2 d=6.29577e-104 t=64909
bkjw 	联系	c=50 d=2.40419e-26 t=64909
bkmb 	联想	c=1 d=2.41329e-41 t=64909
bknx 	联网	c=2 d=1.79132e-27 t=64909
bkvh 	联合	c=2 d=0.000953857 t=64909
bkzn 	联通	c=1 d=3.12444e-50 t=64909
bll 	昆	c=1 d=1.40802e-55 t=64909
bm 	某	c=30 d=0.0510474 t=64909
bmh 	某	c=5 d=0.937067 t=64909
bmvi 	某个	c=19 d=0.149569 t=64909
bmyl 	某些	c=3 d=1.40976 t=64909
bn 	明	c=15 d=4.12069e-12 t=64909
bnbi 	明暗	c=1 d=1.40696e-105 t=64909
bnhr 	明天	c=34 d=1.94913e-26 t=64909
bnig 	明说	c=1 d=7.51558e-82 t=64909
bnjb 	明白	c=4 d=1.4266e-34 t=64909
bnlr 	明快	c=2 d=1.56471e-24 t=64909
bnph 	明确	c=6 d=3.92719e-05 t=64909
bnvf 	明年	c=4 d=2.67552e-49 t=64909
bnwq 	明细	c=90 d=1.31859e-05 t=64909
bnwz 	明了	c=1 d=0.00052611 t=64909
bo 	职	c=4 d=1.59576e-57 t=64909
boax 	职务	c=4 d=9.66427e-104 t=64909
bog 	职	c=5 d=1.32208e-54 t=64909
boi 	聖	c=1 d=6.7909e-95 t=64909
bovi 	职位	c=4 d=0.574072 t=64909
boxh 	职业	c=8 d=0.778801 t=64909
bp 	眼	c=1 d=4.05727e-06 t=64909
bpk 	眼	c=1 d=9.57696e-110 t=64909
bpuh 	昵称	c=3 d=0.718924 t=64909
bri 	映	c=2 d=1.78116e-49 t=64909
brrx 	映射	c=35 d=2.89928e-05 t=64909
brvh 	映像	c=5 d=5.38617e-119 t=64909
bsh 	晒	c=1 d=5.63321e-102 t=64909
bshw 	晓	c=2 d=2.18779e-34 t=64909
bstx 	暴露	c=2 d=7.7234e-50 t=64909
bsxz 	暴力	c=1 d=5.35683e-69 t=64909
bt 	题	c=11 d=0.694405 t=64909
btbi 	题目	c=5 d=0.752014 t=64909
bthn 	题解	c=1 d=1.92902e-53 t=64909
bu 	县	c=3 d=1.29288e-22 t=64909
buie 	县市	c=1 d=3.19125e-93 t=64909
buys 	县城	c=1 d=1.69732e-77 t=64909
bvhr 	昨天	c=20 d=3.44025e-64 t=64909
bwj 	見	c=1 d=2.31063e-59 t=64909
bx 	时	c=196 d=5.77292 t=64909
bxcx 	时区	c=13 d=0.722527 t=64909
bxd 	时	c=3 d=1.98511 t=64909
bxfj 	助手	c=6 d=1.12869 t=64909
bxgg 	显示	c=175 d=7.69714 t=64909
bxgh 	时光	c=1 d=4.00206e-80 t=64909
bxgh 	时分	c=2 d=4.93224e-18 t=64909
bxgn 	助学	c=1 d=1.12463e-117 t=64909
bxgn 	时常	c=1 d=1.18745e-80 t=64909
bxh 	早	c=18 d=7.94644e-32 t=64909
bxhx 	显	c=14 d=2.15603 t=64909
bxi 	瞤	c=1 d=5.17539e-46 t=64909
bxib 	早衰	c=1 d=6.02401e-97 t=64909
bxiu 	时刻	c=1 d=5.79231e-18 t=64909
bxiv 	时论	c=1 d=1.79988e-32 t=64909
bxkj 	早饭	c=2 d=1.84902 t=64909
bxlo 	早点	c=3 d=1.13601e-59 t=64909
bxmw 	时机	c=2 d=1.04902e-63 t=64909
bxn 	瞯	c=1 d=5.18403e-95 t=64909
bxnb 	时间	c=238 d=9.12329 t=64909
bxvi 	时候	c=247 d=3.16268 t=64909
bxvs 	时代	c=1 d=2.50095e-49 t=64909
bxxz 	助力	c=2 d=1.89919e-38 t=64909
bxyi 	早上	c=6 d=1.97106e-42 t=64909
bxyl 	显卡	c=2 d=0.424517 t=64909
c 	区	c=28 d=1.80531 t=64909
ca 	蜂	c=1 d=1.63327e-95 t=64909
can 	腎	c=1 d=7.41323e-09 t=64909
cap 	硻	c=1 d=1.23025e-26 t=64909
cd 	卵	c=14 d=1.59053 t=64909
ce 	匝	c=2 d=7.60118e-60 t=64909
ch 	留	c=1 d=6.51285e-15 t=64909
chid 	留言	c=20 d=7.07286e-91 t=64909
chq 	留	c=2 d=7.37786e-117 t=64909
chxo 	匿	c=1 d=6.83236e-49 t=64909
ci 	虫	c=15 d=2.21814e-49 t=64909
ciw 	蚿	c=1 d=8.74227e-96 t=64909
cp 	迎	c=2 d=0.835352 t=64909
cqih 	螺旋	c=1 d=2.35651e-55 t=64909
cs 	蜡	c=1 d=6.69457e-74 t=64909
ct 	虾	c=2 d=3.88076e-122 t=64909
cu 	惠	c=5 d=4.60726e-117 t=64909
cvjy 	医生	c=2 d=8.45098e-21 t=64909
cvpn 	医院	c=1 d=2.19974e-98 t=64909
cw 	匹	c=1 d=3.87165e-102 t=64909
cwsl 	匹配	c=61 d=2.26303e-20 t=64909
cx 	欧	c=2 d=0.774917 t=64909
cxbn 	欧盟	c=1 d=4.16835e-59 t=64909
cxd 	專	c=3 d=0.0232837 t=64909
cxgh 	区分	c=11 d=3.22799e-38 t=64909
cxnb 	区间	c=42 d=9.7633 t=64909
cxox 	区别	c=15 d=0.786628 t=64909
cxyr 	区块	c=2 d=3.41036e-102 t=64909
cxys 	区域	c=57 d=6.19496 t=64909
cz 	遇	c=1 d=2.07897e-22 t=64909
czhu 	遇到	c=6 d=0.154896 t=64909
czyi 	遇上	c=1 d=2.3949e-98 t=64909
d 	为	c=832 d=16.0477 t=64909
da 	汉	c=6 d=0.759572 t=64909
dafz 	泽	c=2 d=1 t=64909
danz 	汉字	c=1 d=2.89424e-32 t=64909
dbix 	温水	c=1 d=3.77951e-54 t=64909
dbjh 	温度	c=1 d=1.25981e-70 t=64909
dbjx 	混乱	c=1 d=4.39519e-06 t=64909
dbll 	混	c=3 d=2.94399e-56 t=64909
dbq 	温	c=1 d=3.82881e-30 t=64909
dbvh 	混合	c=7 d=1.94392e-33 t=64909
dc 	汇	c=1 d=0.000291638 t=64909
dcgo 	汇总	c=81 d=2.41868e-24 t=64909
dciw 	汇率	c=3 d=2.65732e-86 t=64909
dckj 	渠道	c=5 d=1.53864 t=64909
dd 	多	c=267 d=7.02779 t=64909
ddav 	多媒体	c=2 d=9.84748e-26 t=64909
ddd 	丶	c=1 d=5.01474e-28 t=64909
dddh 	多次	c=5 d=3.96671e-26 t=64909
ddgj 	多少	c=25 d=1.28411 t=64909
ddhr 	澬	c=1 d=2.64407e-86 t=64909
ddix 	多变	c=1 d=2.16566e-32 t=64909
ddpk 	浪	c=1 d=1.57886e-20 t=64909
ddth 	多于	c=2 d=4.63392e-40 t=64909
dduf 	多种	c=1 d=0.786628 t=64909
ddvf 	多年	c=1 d=2.08428e-52 t=64909
ddvh 	多余	c=20 d=4.06626e-32 t=64909
ddvi 	多个	c=22 d=2.42202 t=64909
ddvi 	洋洋得意	c=1 d=2.00209e-108 t=64909
ddxo 	津津有味	c=1 d=2.18556e-22 t=64909
df 	冲	c=8 d=0.946485 t=64909
dfng 	冲突	c=2 d=0.985122 t=64909
dfo 	浩	c=6 d=5.96408e-60 t=64909
dfw 	洗	c=5 d=1.13488e-70 t=64909
dfz 	津	c=2 d=1.67536 t=64909
dg 	消	c=1 d=0.755783 t=64909
dggg 	洲	c=1 d=3.65897e-55 t=64909
dgj 	沙	c=5 d=3.65984e-53 t=64909
dgjb 	消息	c=77 d=34.6339 t=64909
dgjr 	消失	c=7 d=0.683861 t=64909
dgm 	洣	c=1 d=2.98604e-17 t=64909
dgn 	消	c=1 d=3.50559e-110 t=64909
dgpv 	消除	c=3 d=5.76302e-15 t=64909
dgsr 	消费	c=42 d=8.82219e-17 t=64909
dgyq 	消毒	c=1 d=1.23486e-70 t=64909
dh 	次	c=42 d=3.42405 t=64909
dhc 	澫	c=1 d=6.86426e-45 t=64909
dhdj 	资源	c=73 d=4.87071 t=64909
dhdn 	资深	c=1 d=7.71814e-42 t=64909
dhei 	满足	c=4 d=2.6546e-07 t=64909
dhg 	沵	c=2 d=3.13598e-93 t=64909
dhgm 	梁	c=1 d=6.0887e-105 t=64909
dhgm 	次数	c=13 d=0.00245409 t=64909
dhgm 	资料	c=7 d=8.50887e-56 t=64909
dhig 	资产	c=26 d=3.77838 t=64909
dhih 	咨询	c=2 d=1.35549e-100 t=64909
dhik 	满意	c=3 d=2.12301 t=64909
dhjz 	次序	c=1 d=0.946485 t=64909
dhl 	泡	c=1 d=2.42118e-50 t=64909
dhmh 	资本	c=2 d=3.28888e-104 t=64909
dhne 	滯	c=4 d=2.44766e-23 t=64909
dhni 	淘宝	c=1 d=8.56071e-55 t=64909
dhsa 	次要	c=1 d=1.1374e-44 t=64909
dhug 	沟	c=1 d=6.68454e-27 t=64909
dhv 	次	c=6 d=0.774917 t=64909
dhvr 	資	c=17 d=0.0196353 t=64909
dhvu 	淘	c=1 d=1.19792e-95 t=64909
dhwa 	次级	c=1 d=3.17588e-95 t=64909
dhxi 	添加剂	c=3 d=8.58455e-29 t=64909
dhxo 	添加	c=2319 d=40.0207 t=64909
dhxp 	漫无边际	c=1 d=1.87188e-111 t=64909
dhyj 	污垢	c=2 d=2.82221e-59 t=64909
dhzj 	淘金	c=1 d=4.98501e-105 t=64909
dhzj 	资金	c=1 d=5.56465e-105 t=64909
dhzn 	沟通	c=1 d=1.6674e-103 t=64909
di 	流	c=18 d=0.0170774 t=64909
dias 	游戏	c=2 d=7.92056e-23 t=64909
dibh 	流量	c=4 d=8.77837e-104 t=64909
dibn 	注明	c=1 d=7.78303e-111 t=64909
did 	注	c=4 d=0.68045 t=64909
digk 	浏览	c=1 d=1.65975e-49 t=64909
digk 	滾	c=1 d=3.01575e-104 t=64909
digo 	浏览器	c=29 d=1.09043 t=64909
digo 	滴	c=2 d=7.23172e-92 t=64909
digu 	流动	c=1 d=3.43278e-69 t=64909
digu 	滚动	c=16 d=4.6636 t=64909
dihj 	注册	c=21 d=0.676085 t=64909
dihn 	注解	c=2 d=2.17597e-74 t=64909
diik 	注意	c=72 d=1.44423 t=64909
diix 	流水	c=17 d=1.23943e-96 t=64909
dijr 	流失	c=4 d=2.22721e-104 t=64909
dik 	泣	c=2 d=0.477114 t=64909
dily 	滚轴	c=1 d=1.4051e-60 t=64909
diog 	涼	c=1 d=3.7907e-30 t=64909
dis 	鴻	c=1 d=8.19399e-40 t=64909
disj 	流感	c=1 d=1.92607e-35 t=64909
diug 	注释	c=32 d=0.78272 t=64909
diug 	流	c=4 d=0.985112 t=64909
diuo 	流程	c=4 d=8.07088e-09 t=64909
divj 	注入	c=3 d=4.26008e-21 t=64909
dix 	冰	c=1 d=0.778801 t=64909
diyi 	冰上	c=1 d=5.28049e-106 t=64909
dj 	活	c=1 d=5.66681e-25 t=64909
djbx 	湶	c=1 d=5.91033e-20 t=64909
djdj 	激活	c=9 d=3.25353e-19 t=64909
djdz 	泛	c=4 d=8.87521e-09 t=64909
djej 	活跃	c=1 d=5.52767e-56 t=64909
djfo 	溏	c=1 d=1.75563e-92 t=64909
djgu 	活动	c=18 d=7.93283 t=64909
djgu 	浮动	c=4 d=2.2638e-24 t=64909
djha 	渡	c=1 d=1.10532e-31 t=64909
djjg 	源	c=119 d=1.90002 t=64909
djlo 	浮点	c=10 d=0.380984 t=64909
djnr 	澳	c=3 d=5.27724e-40 t=64909
djps 	源码	c=4 d=0.56836 t=64909
djsg 	瀇	c=1 d=8.78695e-09 t=64909
djt 	沂	c=1 d=0.99005 t=64909
djt 	淨	c=7 d=6.32797e-106 t=64909
djxo 	活	c=2 d=1.31255e-74 t=64909
djxz 	活力	c=1 d=2.3614e-50 t=64909
djyi 	浮上	c=1 d=2.20094e-75 t=64909
djz 	浮	c=1 d=1.6124e-32 t=64909
dkeu 	溢出	c=4 d=1.35195e-17 t=64909
dklh 	汽车	c=3 d=2.4258e-43 t=64909
dl 	外	c=3 d=3.83154e-09 t=64909
dlaw 	外观	c=1 d=6.02255e-06 t=64909
dli 	外	c=10 d=1.71376e-13 t=64909
dlik 	外部	c=1 d=3.99159e-108 t=64909
dlix 	渐变	c=4 d=0.0290134 t=64909
dljt 	渐	c=1 d=1.35755e-08 t=64909
dlm 	柒	c=1 d=2.25934e-89 t=64909
dlnx 	外网	c=2 d=6.06472e-88 t=64909
dlpk 	外屏	c=2 d=5.88004e-40 t=64909
dltq 	外面	c=1 d=1.57382e-100 t=64909
dlxz 	外边	c=3 d=2.91023e-38 t=64909
dlz 	池	c=1 d=1.32824e-104 t=64909
dnds 	深浅	c=1 d=2.49696e-89 t=64909
dndx 	渲染	c=34 d=1.98959 t=64909
dndx 	演义	c=2 d=4.36444e-34 t=64909
dngg 	演示	c=2 d=3.569e-115 t=64909
dngm 	深	c=1 d=9.78966e-45 t=64909
dngu 	滑动	c=1 d=1.34373e-64 t=64909
dnid 	沉默	c=4 d=2.90121 t=64909
dnjh 	深度	c=2 d=1.9023e-36 t=64909
dnsz 	演进	c=1 d=1.50202e-80 t=64909
dntv 	淀	c=2 d=5.11126e-105 t=64909
dnyg 	深圳	c=3 d=3.07531e-40 t=64909
do 	名	c=35 d=2.06754 t=64909
dogh 	名誉	c=1 d=2.60249e-76 t=64909
doi 	名	c=42 d=4.01314 t=64909
dokj 	名片	c=2 d=1.94624 t=64909
donz 	名字	c=13 d=0.786628 t=64909
douh 	名称	c=173 d=4.63684 t=64909
dp 	房	c=113 d=0.795045 t=64909
dpaz 	良好	c=3 d=1.08458e-43 t=64909
dpdj 	房源	c=175 d=0.146817 t=64909
dpdo 	户名	c=3 d=8.24016e-117 t=64909
dpfh 	启事	c=1 d=2.27275e-41 t=64909
dpgu 	启动	c=82 d=10.109 t=64909
dpid 	房主	c=1 d=1.04774e-78 t=64909
dpig 	房产	c=233 d=0.219494 t=64909
dpjg 	良辰	c=2 d=0.0177743 t=64909
dpjx 	遍历	c=6 d=8.69538e-36 t=64909
dpnb 	房间	c=3 d=8.76893e-104 t=64909
dpnf 	启用	c=29 d=2.67219 t=64909
dpo 	启	c=1 d=1.68536e-82 t=64909
dpph 	房屋	c=41 d=0.0206989 t=64909
dps 	泯	c=1 d=3.72451e-58 t=64909
dpsg 	户型	c=5 d=4.47653e-104 t=64909
dpvv 	房价	c=2 d=1.62525e-103 t=64909
dpz 	夘	c=1 d=2.26473e-117 t=64909
dpzh 	户	c=10 d=1.27199e-95 t=64909
dpzz 	房子	c=3 d=5.56827e-49 t=64909
dr 	然	c=3 d=3.1667e-61 t=64909
drik 	决意	c=1 d=1.1374e-44 t=64909
dris 	测试	c=326 d=6.10797 t=64909
drjh 	然后	c=25 d=1.63809 t=64909
drkm 	决策	c=3 d=2.77348e-60 t=64909
drnt 	决定	c=4 d=7.18388e-51 t=64909
drvl 	淡化	c=1 d=1.9069e-35 t=64909
drwv 	测绘	c=8 d=1.86362e-59 t=64909
drxi 	潜在	c=1 d=1.3483e-104 t=64909
drz 	決	c=1 d=2.44759e-60 t=64909
ds 	酒	c=1 d=3.11999e-92 t=64909
dsdr 	浅淡	c=1 d=1.88792e-35 t=64909
